Reporting Economy;Product/Sector;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Argentina;SI3_AGG - MI - Fuels and mining products;7865;9070;8223;8803;7751;8313;8182;8229;5971;5433;3003;3306;3489;2829;2629;1590;2103;5711
Argentina;SI3_AGG - MIFU - Fuels;6576;7104;6095;6561;5659;5388;4956;4962;3557;3200;1442;1445;1626;2536;2343;1470;2060;5463
Argentina;SI3_AGG - MA - Manufactures;12277;14776;17251;21584;17787;21941;26402;25244;24009;21372;15980;14831;16148;11988;10788;7923;10563;13965
Argentina;SI3_AGG - MAIS - Iron and steel;1613;1649;1818;2155;1606;1454;1711;1662;1396;1307;554;414;634;48;54;37;8;67
Argentina;SI3_AGG - MACH - Chemicals;3397;3791;4138;5811;5117;5887;7434;7117;6355;6456;5291;5616;5501;4284;3549;3097;3952;5235
Argentina;SI3_AGG - MACHPH - Pharmaceuticals;396;494;556;686;725;767;889;981;1001;942;1139;1029;889;722;721;708;811;896
Argentina;SI3_AGG - MAMT - Machinery and transport equipment;4301;5957;7656;9749;8014;10828;13361;12916;12942;10537;7660;6633;7698;5796;5302;3558;5410;7234
Argentina;SI3_AGG - MAMTOF - Office and telecom equipment;76;121;151;150;105;80;93;87;117;157;67;53;68;39;47;38;22;30
Argentina;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;24;28;32;28;34;24;29;20;56;99;27;15;16;16;13;7;6;6
Argentina;SI3_AGG - MAMTOTTL - Telecommunications equipment;51;92;116;119;69;55;61;66;61;54;37;35;49;22;29;27;13;19
Argentina;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;2;2;3;2;1;1;2;1;1;4;4;2;3;2;5;4;3;5
Argentina;SI3_AGG - MAMTTE - Transport equipment;3313;4723;6083;7764;6293;8950;11267;10890;11144;9074;6590;5662;6709;5142;4630;3027;4996;6501
Argentina;SI3_AGG - MAMTAU - Automotive products;3047;4178;5479;6655;5483;8078;10043;9635;10321;8558;6114;5174;5950;4987;4451;2918;4892;6348
Argentina;SI3_AGG - MATE - Textiles;212;219;233;274;214;263;300;222;205;200;134;112;114;105;99;64;70;95
Argentina;SI3_AGG - MACL - Clothing;101;109;110;124;93;101;118;125;100;79;65;38;39;27;30;21;29;35
Armenia;SI3_AGG - TO - Total merchandise;974;985;1152;1057;710;1011;1334;1380;1480;1519;1485;1792;2245;2412;2640;2544;3023;5360
Armenia;SI3_AGG - AG - Agricultural products;121;145;194;219;133;166;224;316;393;414;390;517;625;670;775;706;871;1235
Armenia;SI3_AGG - AGFO - Food;112;120;169;205;127;156;223;314;389;409;380;508;614;660;767;699;862;1216
Armenia;SI3_AGG - MI - Fuels and mining products;121;225;290;270;266;484;633;623;599;573;631;631;863;819;938;872;1154;1213
Armenia;SI3_AGG - MIFU - Fuels;19;20;13;6;6;41;101;108;88;90;92;61;72;81;69;68;51;92
Armenia;SI3_AGG - MA - Manufactures;658;577;619;561;253;313;382;398;403;416;349;501;505;710;673;506;806;2443
Armenia;SI3_AGG - MAIS - Iron and steel;239;163;240;210;87;120;122;107;103;110;57;66;85;127;143;88;200;265
Armenia;SI3_AGG - MACH - Chemicals;3;5;12;19;9;12;15;19;25;20;22;26;37;36;37;35;48;104
Armenia;SI3_AGG - MACHPH - Pharmaceuticals;1;2;3;4;4;5;6;7;8;10;11;15;22;21;23;16;20;29
Armenia;SI3_AGG - MAMT - Machinery and transport equipment;30;23;42;40;31;33;57;94;45;26;26;41;52;68;81;53;94;1013
Armenia;SI3_AGG - MAMTOF - Office and telecom equipment;3;3;13;9;7;7;9;18;2;4;2;3;7;9;11;12;17;512
Armenia;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;1;0;0;0;0;0;10;1;1;1;1;1;5;4;4;5;88
Armenia;SI3_AGG - MAMTOTTL - Telecommunications equipment;3;2;12;9;6;7;9;8;1;3;1;2;3;3;2;6;8;405
Armenia;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;1;0;0;0;0;0;0;0;0;1;4;2;5;3;4;19
Armenia;SI3_AGG - MAMTTE - Transport equipment;3;2;4;3;10;3;29;56;24;3;10;14;14;27;30;15;40;321
Armenia;SI3_AGG - MAMTAU - Automotive products;1;2;1;1;2;1;2;2;1;1;8;13;13;22;23;13;35;307
Armenia;SI3_AGG - MATE - Textiles;6;7;7;14;7;1;1;0;1;0;14;4;3;14;3;4;4;22
Armenia;SI3_AGG - MACL - Clothing;30;28;27;26;8;5;7;18;38;50;71;93;127;217;169;123;183;195
Asia;SI3_AGG - TO - Total merchandise;3060839;3576140;4141180;4724686;3890684;5076030;5975076;6119996;6293579;6444186;5967082;5758485;6381627;6902451;6772859;6681469;8500687;9118606
Asia-Pacific Economic Cooperation (APEC);SI3_AGG - TO - Total merchandise;4690314;5448744;6220472;7062708;5652523;7245195;8511967;8754492;8938008;9120316;8325109;7981286;8809551;9586387;9406322;8963389;11364350;12485398
Association of Southeast Asian Nations (ASEAN);SI3_AGG - TO - Total merchandise;656574;769790;865113;989738;813787;1049756;1239469;1253684;1269978;1296849;1167083;1144016;1316348;1445973;1423179;1385880;1724102;1959526
Australia;SI3_AGG - TO - Total merchandise;106097;123437;141358;187257;154331;212634;271733;256675;252981;239975;187684;192505;231131;257098;271005;250823;344864;412562
Australia;SI3_AGG - AG - Agricultural products;21209;22178;22399;26134;23492;27048;37399;38405;37596;38632;35975;33828;42118;41363;38692;33123;46716;55867
Australia;SI3_AGG - AGFO - Food;17075;17937;17619;21571;19981;21887;29301;30704;30057;31984;30406;27823;32381;30381;29782;28051;37975;45262
Australia;SI3_AGG - MI - Fuels and mining products;51230;63332;71957;111839;87960;129750;174495;160344;161601;152983;107927;112245;142277;167453;180921;153266;241301;298956
Australia;SI3_AGG - MIFU - Fuels;27119;29637;31648;59868;45372;59752;75819;72890;65221;63956;47494;50414;69890;91171;87694;52676;94765;175159
Australia;SI3_AGG - MA - Manufactures;21631;22203;26087;28972;22920;26858;31104;31566;29547;28644;25726;25986;27029;28799;29727;25903;28107;30213
Australia;SI3_AGG - MAIS - Iron and steel;568;787;998;1435;675;1261;1275;737;669;609;511;450;704;767;833;624;597;858
Australia;SI3_AGG - MACH - Chemicals;4915;5168;6496;7071;6312;7200;8090;8659;7515;6617;5513;6243;6625;7851;8318;7650;7575;8727
Australia;SI3_AGG - MACHPH - Pharmaceuticals;2463;2600;3259;3349;3191;3584;3857;4463;3432;2630;1856;2593;2663;3538;4339;3818;2722;3005
Australia;SI3_AGG - MAMT - Machinery and transport equipment;10033;9832;11407;12882;9340;10989;13006;13790;13178;13238;12051;11523;11241;11492;11831;10130;11139;11499
Australia;SI3_AGG - MAMTOF - Office and telecom equipment;1764;1759;1969;2151;1704;2045;2397;2340;2454;2725;2738;2589;2666;2677;3031;2637;3029;2953
Australia;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;878;864;975;1037;816;1088;1210;1184;1257;1419;1357;1167;1082;1109;1107;1013;1216;1163
Australia;SI3_AGG - MAMTOTTL - Telecommunications equipment;654;660;712;838;773;815;983;1009;1060;1179;1246;1290;1403;1354;1718;1435;1574;1603
Australia;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;232;236;283;275;116;142;204;147;137;128;135;132;181;215;206;189;239;188
Australia;SI3_AGG - MAMTTE - Transport equipment;4685;4306;4921;5849;3369;3986;4741;5301;5172;5131;4681;4323;3814;3884;3942;3114;3224;3424
Australia;SI3_AGG - MAMTAU - Automotive products;3525;3267;3697;4341;2028;2719;2783;3246;3104;2713;2534;2227;1725;1251;1308;1096;1345;1360
Australia;SI3_AGG - MATE - Textiles;329;312;340;319;242;239;274;257;227;215;212;201;209;203;212;190;250;245
Australia;SI3_AGG - MACL - Clothing;206;185;199;213;182;216;256;264;229;222;226;244;251;250;262;264;360;451
Australia and New Zealand;SI3_AGG - TO - Total merchandise;127827;145847;168302;217837;179264;244031;309402;293980;292426;281597;222039;226260;269206;296770;310522;289200;389641;457664
Austria;SI3_AGG - TO - Total merchandise;125182;136751;163620;181289;136989;152560;177428;166611;175156;178223;152728;152090;168026;184815;178670;169418;202806;211392
Austria;SI3_AGG - AG - Agricultural products;10525;11862;14442;16183;13704;14529;16827;15762;16799;16947;14707;15253;16594;18190;17980;18253;21313;21694
Austria;SI3_AGG - AGFO - Food;7739;8857;10533;12349;10606;10944;12713;12341;13165;13380;11532;11880;12955;14009;14108;14774;16416;16961
Austria;SI3_AGG - MI - Fuels and mining products;8856;7784;8969;11413;8399;10509;12578;12032;10205;9685;7910;7242;8784;10267;9790;8862;12603;16075
Austria;SI3_AGG - MIFU - Fuels;5482;3101;4400;6105;4235;4770;5900;5980;4625;4230;2964;2543;3166;3879;4019;3226;4924;8027
Austria;SI3_AGG - MA - Manufactures;104928;116241;137479;150827;112952;124797;145097;136356;145597;149702;128679;127990;141189;154694;149263;139226;164845;169692
Austria;SI3_AGG - MAIS - Iron and steel;7078;7743;9811;11972;6976;8173;10391;9229;9101;9325;7690;7162;8759;9950;8681;7128;9977;11795
